0 0 0 0 0 0.29 0.55 1.01 0.14 0 0.14 0 0 0
0.04 0 0 0 0 0.26 0.51 0.75 0.11 0.08 0 0 0 0
0 0 0 0 0.14 0.05 0.38 0.47 0.34 0.54 0.09 0 0 0.09
0.12 0.06 0.19 0.18 0.25 0.43 0.11 0.2 0.72 0.52 0.43 0.23 0.09 0.46
0.02 0.02 0.06 0.04 0.08 0.09 0.05 0.09 0.25 0.32 0.42 0.26 0.13 0.18
0.05 0.06 0 0.03 0.09 0.22 0.11 0.08 0.08 0.07 0.35 0.27 0.04 0.06
0.18 0.2 0.05 0.01 0.08 0.12 0.57 0.28 0.16 0.07 0.1 0.17 0.25 0.19
0.15 0.26 0.19 0.08 0.05 0.1 0.15 0.43 0.35 0.11 0.04 0.03 0.31 0.28
0.16 0.23 0.31 0.24 0.11 0.08 0.15 0.23 0.54 0.34 0.14 0.09 0.21 0.66
0 0 0.28 0.29 0.23 0.12 0.11 0.17 0.25 0.39 0.33 0.14 0 0.1
0.02 0.03 0.07 0.05 0.24 0.36 0.07 0.06 0 0.1 0.43 0.19 0.22 0.12
0.03 0.04 0 0 0.16 0.08 0.22 0 0.23 0.08 0.16 0.26 0.35 0.15
0.02 0.06 0.02 0.03 0.06 0.08 0.21 0.12 0.13 0 0.02 0.1 0.4 0.38
0 0.04 0.01 0.05 0 0.05 0.1 0.09 0.06 0 0 0.05 0.28 0.58
